,pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_orbsmax,pl_insol,pl_orbeccen,st_teff,st_rad,pl_dens
3350,Kepler-19 b,2.209,6.1,9.28699,851.0,0.0846,87.6,0.41,5541.0,0.859,3.1
3351,Kepler-19 c,3.68,13.1,28.731,,0.1765736996,,0.21,5544.0,0.859,1.44
3352,Kepler-19 d,5.06,22.5,62.95,,,,0.05,5544.0,0.859,0.954
3353,Kepler-190 b,1.56,3.05,2.019999,1166.0,0.03,417.238,0.0,5106.0,0.795,4.41
3354,Kepler-190 c,1.46,2.73,3.763024,948.0,0.045,181.699,0.0,5106.0,0.795,4.82
3355,Kepler-1900 b,1.62314676,3.27,2.986229897,1356.0,0.042,798.35,0.0,6173.0,1.041,4.2
3356,Kepler-1901 b,1.47418907,2.77,3.484129906,1132.0,0.0453,389.41,0.0,5696.0,0.921,4.75
3357,Kepler-1902 b,1.17563613,1.74,3.822220087,601.0,0.0385,30.84,0.0,3729.0,0.514,5.88
3358,Kepler-1903 b,2.28642395,5.85,17.0678997,769.0,0.1321,82.56,0.0,6347.0,0.996,2.69
3359,Kepler-1904 b,1.3904994,2.51,4.577020168,567.0,0.0436,24.38,0.0,3805.0,0.497,5.13
3360,Kepler-1905 b,1.4460734,2.69,3.42392993,1212.0,0.0451,508.75,0.0,5788.0,1.015,4.89
3361,Kepler-1906 b,2.77615754,8.13,7.362689972,901.0,0.0738,155.72,0.0,5868.0,0.894,2.09
3362,Kepler-1907 b,0.86973029,0.589,5.652450085,856.0,0.05444,75.0,0.0,5159.0,0.8,4.92
3363,Kepler-1907 c,1.15547044,1.63,14.86390018,620.0,0.10371,20.6,0.0,5159.0,0.8,5.81
3364,Kepler-1909 b,1.09217411,1.33,2.391609907,1031.0,0.0306,266.01,0.0,4935.0,0.685,5.61
3365,Kepler-191 b,1.34,2.36,9.939632,722.0,0.087,50.2,0.0,5282.0,0.789,5.39
3366,Kepler-191 c,1.86,4.12,17.738506,596.0,0.128,23.2,0.0,5282.0,0.789,3.52
3367,Kepler-191 d,2.28,5.82,5.945041017,857.0,0.06104,99.6,0.0,5215.0,0.8,2.7
3368,Kepler-1910 b,1.184,1.78,5.688769817,645.0,0.0536,40.88,0.0,4234.0,0.639,5.89
3369,Kepler-1911 b,1.011,1.01,5.990799904,987.0,0.0636,223.93,0.0,5721.0,0.972,5.37
3370,Kepler-1912 b,1.35670508,2.41,6.059219837,976.0,0.06489,201.8,0.0,5734.0,0.962,5.3
3371,Kepler-1913 b,1.51852059,2.92,14.1960001,818.0,0.1209,105.7,0.0,6214.0,1.076,4.58
3372,Kepler-1914 b,2.9429803,8.97,30.82789993,585.0,0.1954,27.66,0.0,5982.0,0.96,1.93
3373,Kepler-1915 b,3.21798413,10.4,13.83539963,809.0,0.114,101.05,0.0,6020.0,1.057,1.71
3374,Kepler-1916 b,2.61757235,7.35,31.25429916,635.0,0.2053,38.54,0.0,6246.0,1.092,2.25
3375,Kepler-1917 b,1.88971288,4.23,12.90240002,675.0,0.103,48.99,0.0,5530.0,0.788,3.44
3376,Kepler-1918 b,2.29763023,5.89,47.0564003,497.0,0.2524,14.43,0.0,5889.0,0.924,2.67
3377,Kepler-1919 b,2.62390658,7.38,37.88660049,479.0,0.2107,12.46,0.0,5513.0,0.818,2.24
3378,Kepler-192 b,2.74,7.95,9.926746,803.0,0.09,105.297,0.0,5479.0,1.007,2.12
3379,Kepler-192 c,2.79,8.2,21.2234,623.0,0.15,38.216,0.0,5479.0,1.007,2.07
3380,Kepler-192 d,1.02,1.04,6.47027579,926.0,0.0686,186.076,0.0,5487.0,0.94,5.39
3381,Kepler-1920 b,2.95415848,9.03,30.2541008,660.0,0.2043,44.87,0.0,6277.0,1.161,1.92
3382,Kepler-1921 b,2.89459458,8.72,20.03479958,967.0,0.15865,216.2,0.0,6120.0,2.0,1.98
3383,Kepler-1921 c,1.41,2.57,3.15722086,1791.0,0.0454,2436.47,0.0,6120.0,2.0,5.04
3384,Kepler-1922 b,2.29064904,5.86,13.22259998,740.0,0.1077,71.11,0.0,5931.0,0.863,2.68
3385,Kepler-1923 b,1.95958179,4.5,52.60969925,553.0,0.2846,8.63,0.0,5881.0,1.294,3.29
3386,Kepler-1924 b,2.65446572,7.53,15.33170033,821.0,0.1216,107.44,0.0,5726.0,1.285,2.21
3387,Kepler-1925 b,3.00177922,9.28,46.71640015,531.0,0.2588,18.74,0.0,5856.0,1.092,1.89
3388,Kepler-1926 b,2.31495961,5.97,42.87770081,451.0,0.2197,9.8,0.0,5256.0,0.832,2.64
3389,Kepler-1927 b,3.40627075,11.5,73.75039673,677.0,0.38733,34.7,0.0,6056.0,2.481,1.6
3390,Kepler-1928 b,1.992,4.63,19.57783,621.0,0.194,37.8,0.43,5720.0,0.92,3.22
3391,Kepler-1929 b,3.07250761,9.65,59.36249924,566.0,0.30883,37.2,0.0,5786.0,1.471,1.83
3392,Kepler-193 b,2.39,6.3,11.38848,979.0,0.106,117.303,0.0,6335.0,1.147,2.54
3393,Kepler-193 c,2.75,8.0,50.697494,595.0,0.286,16.026,0.0,6335.0,1.147,2.11
3394,Kepler-1930 b,1.52955541,2.95,13.02680016,643.0,0.10233,31.6,0.0,5083.0,0.844,4.53
3395,Kepler-1931 b,2.65323514,7.53,38.5760994,619.0,0.23329,51.7,0.0,6167.0,1.221,2.22
3396,Kepler-1932 b,1.51482218,2.91,0.524177015,1891.0,0.0123,2799.9,0.0,5278.0,0.815,4.6
3397,Kepler-1933 b,1.17984089,1.76,4.943290234,1058.0,0.05605,250.5,0.0,5661.0,1.008,5.89
3398,Kepler-1934 b,0.91307734,0.702,1.419759989,1700.0,0.02466,1835.6,0.0,5925.0,1.035,5.07
3399,Kepler-1935 b,2.50271696,6.82,3.951400042,1083.0,0.0463,324.78,0.0,5570.0,0.899,2.39
3400,Kepler-1936 b,3.16615594,10.2,126.5569992,524.0,0.52662,9.4,0.0,6501.0,1.854,1.77
3401,Kepler-1937 b,3.0229133,9.39,9.688599586,1014.0,0.0915,163.1,0.0,6457.0,1.196,1.87
3402,Kepler-1938 b,1.82828927,4.0,13.06260014,527.0,0.0938,18.25,0.0,4522.0,0.655,3.6
3403,Kepler-1939 b,1.16480773,1.68,2.790659904,816.0,0.0334,104.74,0.0,4353.0,0.603,5.84
3404,Kepler-194 b,1.51,2.89,2.092281,1648.0,0.032,953.173,0.0,6089.0,1.025,4.61
